epoch,frame,norm_fu,norm_init,norm_fimp,norm_vx_lap,norm_vy_lap,norm_vx_t,norm_vy_t,loss,walltime,memory,error_u_t0,error_u_t1,weight_pde,weight_init,weight_data,weight_smooth,weight_time
650,7,0.006798053625971079,0.828184962272644,0.0001108038704842329,0.0066356658935546875,0.00719298142939806,0.0033056519459933043,0.003250697162002325,0.6860537528991699,76.44743323326111,483.515625,0.002076934,0.0120359305,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
660,7,0.006791179999709129,0.548588216304779,6.945431960048154e-05,0.006562846712768078,0.007127576973289251,0.0022431970573961735,0.002201362047344446,0.30109891295433044,77.6153335571289,485.1875,0.0011424792,0.012039662,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
670,7,0.0067891585640609264,0.3343348205089569,4.4687378249363974e-05,0.006495109759271145,0.0070669036358594894,0.0015945943305268884,0.0015521403402090073,0.11192293465137482,78.78516864776611,488.015625,0.00065862597,0.0120431995,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
680,7,0.006787663325667381,0.20777826011180878,2.6362495191278867e-05,0.0064310114830732346,0.007009709719568491,0.0012995167635381222,0.0012473453534767032,0.04331161826848984,79.94930958747864,489.125,0.00042244967,0.012046569,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
690,7,0.00678615178912878,0.11971225589513779,1.4416060366784222e-05,0.00636992696672678,0.006955176126211882,0.001164250890724361,0.001113569363951683,0.014468622393906116,81.11389350891113,492.28125,0.00025041902,0.012049785,0.028622501969278177,49.47634423087837,42.458743853100785,0.000898664672609706,1.8506742946232033
700,7,0.006785326171666384,0.06778662651777267,8.176981282304041e-06,0.006311281584203243,0.006902980152517557,0.0011011000024154782,0.0010488546686246991,0.004730863030999899,82.31087851524353,467.203125,0.00017792554,0.012052864,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
710,8,0.004592428915202618,0.026015620678663254,311.9588928222656,0.003386238357052207,0.003708499949425459,0.0014141072751954198,0.0013453959254547954,97318.3515625,83.44250988960266,495.453125,0.000359745,0.04925996,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
720,8,0.004044741857796907,0.00892550963908434,152.564697265625,0.0033718040212988853,0.0036959208082407713,0.001375014428049326,0.0013070753775537014,23275.986328125,84.60825967788696,507.140625,0.00014078588,0.024596544,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
730,8,0.0037702980916947126,0.007434327155351639,83.16740417480469,0.0033601801842451096,0.003685795934870839,0.0013458325993269682,0.001278553158044815,6916.8173828125,85.92380785942078,517.65625,0.000102241705,0.015001161,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
740,8,0.0037119193002581596,0.004112682305276394,53.79160690307617,0.003349682781845331,0.0036766098346561193,0.0013202294940128922,0.0012538417940959334,2893.537109375,87.15567350387573,473.203125,6.0276463e-05,0.014335482,0.015263373799964421,8.347451466519061,652.2272661726198,0.0004854025496833548,2.47910290051522
